Date,Open,High,Low,Close,Volume 
2/23/17 13:25,259.64,260.44,259.5635,260.099,62600
2/23/17 13:30,260.099,260.15,259.55,259.887,54700
2/23/17 13:35,259.8906,260.31,259.71,259.71,49300
2/23/17 13:40,259.71,260.06,259.71,259.8147,35500
2/23/17 13:45,259.8147,259.93,258.5219,258.5689,132500
2/23/17 13:50,258.5689,258.6,257.21,257.449,174900
2/23/17 13:55,257.449,258.03,257.38,257.595,84000
2/23/17 14:00,257.595,258.27,257.13,257.37,96500
2/23/17 14:05,257.37,257.74,256.9202,257.03,76800
2/23/17 14:10,257.03,257.7,256.81,257.36,96900
2/23/17 14:15,257.36,257.77,257.02,257.69,50400
2/23/17 14:20,257.7541,258,257.26,257.62,49600
2/23/17 14:25,257.57,258.22,257.57,258.056,65300
2/23/17 14:30,258.056,258.33,257.6211,257.6211,79700
2/23/17 14:35,257.61,257.78,257.07,257.3869,86000
2/23/17 14:40,257.3869,257.65,257.19,257.2508,62000
2/23/17 14:45,257.25,257.46,256.89,257.101,57500
2/23/17 14:50,257.101,257.4095,257.05,257.24,56800
2/23/17 14:55,257.3,257.45,256.9,257.15,68600
2/23/17 15:00,257.15,257.34,257.0718,257.12,32900
2/23/17 15:05,257.13,257.948,257,257.72,94000
2/23/17 15:10,257.72,257.79,257.42,257.64,56400
2/23/17 15:15,257.64,257.85,257.51,257.75,50600
2/23/17 15:20,257.75,257.94,257.39,257.48,65200
2/23/17 15:25,257.48,257.5,256.86,257.04,136600
2/23/17 15:30,257.04,257.4,257,257.2,72300
2/23/17 15:35,257.19,257.45,257.17,257.3988,76800
2/23/17 15:40,257.3988,257.4,257,257.0525,107500
2/23/17 15:45,257.03,257.12,256.6,256.84,138200
2/23/17 15:50,256.85,257.01,256.5365,256.72,134200
2/23/17 15:55,256.72,256.73,255.66,255.8663,362200
2/23/17 16:00,255.865,256.44,255.56,255.99,313600
2/24/17 9:35,252.66,254.8,251.13,253.895,754200
2/24/17 9:40,253.745,253.9,251.72,252.545,237200
2/24/17 9:45,252.65,252.65,250.2,252.04,401700
2/24/17 9:50,252.04,252.37,250.93,251.55,239200
2/24/17 9:55,251.5,251.96,250.5,250.51,305300
2/24/17 10:00,250.61,251.63,250.36,251.39,191700
2/24/17 10:05,251.33,252.95,251.33,252.48,213500
2/24/17 10:10,252.48,253.11,251.8358,252.8,122600
2/24/17 10:15,252.8,253.09,252.08,252.3104,134000
2/24/17 10:20,252.44,252.95,252.38,252.95,66100
2/24/17 10:25,252.95,253.86,252.79,253.7974,146700
2/24/17 10:30,253.7974,254.51,253.505,253.9725,170600
2/24/17 10:35,253.9725,254.4,253.721,253.88,87500
2/24/17 10:40,253.88,254.1,253.52,253.6769,78800
2/24/17 10:45,253.6769,254.07,253.14,253.98,87500
2/24/17 10:50,253.98,255.17,253.93,255.0937,216200
2/24/17 10:55,255.12,255.47,254.9,255.11,112800
2/24/17 11:00,255.13,256.959,255.0222,256.745,210500
2/24/17 11:05,256.745,256.8399,255.6,255.95,169200
2/24/17 11:10,255.8995,256.32,255.761,256.17,88200
2/24/17 11:15,256.17,257.25,256.09,256.2602,142700
2/24/17 11:20,256.2602,256.6255,255.91,256.06,100400
2/24/17 11:25,256,256.1,255.37,255.56,79400
