id,is_save,is_confirm,last_edited_time,created_time,continent,country,continent_name,name,latitude,longitude,updated_date,resource,resource_type,commodity_type,production,consumption,pct_total_production,pct_total_consumption,total_resource_type_production,total_resource_type_consumption,import_usd,export_usd,import_qty,export_qty
1119,True,True,2016-11-18 10:27:31.784331+00:00,2016-11-18 10:27:31.784363+00:00,Continent object,United States,North America,United States,43,-87,2016-11-18 10:27:31.784428+00:00,MiNY Natural Gas Futures,energy,gas,1860730.9,0.0,0.433,0.0,4297300.0,0.0,0.0,0.0,0.0,0.0
1120,True,True,2016-11-18 10:27:31.795885+00:00,2016-11-18 10:27:31.795917+00:00,Continent object,United States,North America,United States,43,-87,2016-11-18 10:27:31.795977+00:00,Natural Gas Futures,energy,gas,1860730.9,0.0,0.433,0.0,4297300.0,0.0,0.0,0.0,0.0,0.0
1121,True,True,2016-11-18 10:27:31.803709+00:00,2016-11-18 10:27:31.803739+00:00,Continent object,United States,North America,United States,43,-87,2016-11-18 10:27:31.803797+00:00,Propane Futures,energy,gas,1860730.9,0.0,0.433,0.0,4297300.0,0.0,0.0,0.0,0.0,0.0
1122,True,True,2016-11-18 10:27:31.814793+00:00,2016-11-18 10:27:31.814825+00:00,Continent object,United States,North America,United States,43,-87,2016-11-18 10:27:31.814884+00:00,RBOB Gasoline Futures,energy,gas,1860730.9,0.0,0.433,0.0,4297300.0,0.0,0.0,0.0,0.0,0.0
1123,True,True,2016-11-18 10:27:31.848278+00:00,2016-11-18 10:27:31.848309+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.848368+00:00,Soybean Oil Futures,Grain,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1124,True,True,2016-11-18 10:27:31.857280+00:00,2016-11-18 10:27:31.857314+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.857375+00:00,Brent Crude,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1125,True,True,2016-11-18 10:27:31.865484+00:00,2016-11-18 10:27:31.865516+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.865593+00:00,Brent Crude Oil Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1126,True,True,2016-11-18 10:27:31.871946+00:00,2016-11-18 10:27:31.871980+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.872045+00:00,Crude Oil Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1127,True,True,2016-11-18 10:27:31.878214+00:00,2016-11-18 10:27:31.878275+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.878383+00:00,Gulf Coast Diesel Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1128,True,True,2016-11-18 10:27:31.885661+00:00,2016-11-18 10:27:31.885707+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.885803+00:00,Heating Oil,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1129,True,True,2016-11-18 10:27:31.895089+00:00,2016-11-18 10:27:31.895124+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.895204+00:00,Heating Oil Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1130,True,True,2016-11-18 10:27:31.911458+00:00,2016-11-18 10:27:31.911491+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.911551+00:00,Light Crude,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1131,True,True,2016-11-18 10:27:31.924811+00:00,2016-11-18 10:27:31.924861+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.924957+00:00,MiNY Crude Oil Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1132,True,True,2016-11-18 10:27:31.937928+00:00,2016-11-18 10:27:31.937979+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.938087+00:00,MiNY Heating Oil Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1133,True,True,2016-11-18 10:27:31.956674+00:00,2016-11-18 10:27:31.956705+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.956764+00:00,Russian Export Blend Crude Oil (REBCO) Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1134,True,True,2016-11-18 10:27:31.966235+00:00,2016-11-18 10:27:31.966262+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.966322+00:00,Singapore 380cst Fuel Oil Futures,energy,oil,143433.6,0.0,0.402,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1135,True,True,2016-11-18 10:27:31.985274+00:00,2016-11-18 10:27:31.985304+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.985375+00:00,Uranium,energy,nuclear,28187.2,0.0,0.079,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1136,True,True,2016-11-18 10:27:31.991657+00:00,2016-11-18 10:27:31.991683+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:31.991762+00:00,Uranium Futures,metal,nuclear,28187.2,0.0,0.079,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1137,True,True,2016-11-18 10:27:32.003027+00:00,2016-11-18 10:27:32.003055+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.003115+00:00,Ethanol Futures,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1138,True,True,2016-11-18 10:27:32.008637+00:00,2016-11-18 10:27:32.008662+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.008718+00:00,Gasoline,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1139,True,True,2016-11-18 10:27:32.014413+00:00,2016-11-18 10:27:32.014437+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.014494+00:00,Gulf Coast Gasoline Futures,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1140,True,True,2016-11-18 10:27:32.028957+00:00,2016-11-18 10:27:32.028989+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.029049+00:00,MiNY Gasoline Futures,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1141,True,True,2016-11-18 10:27:32.035406+00:00,2016-11-18 10:27:32.035441+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.035504+00:00,MiNY Natural Gas Futures,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1142,True,True,2016-11-18 10:27:32.042535+00:00,2016-11-18 10:27:32.042574+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.042664+00:00,Natural Gas Futures,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1143,True,True,2016-11-18 10:27:32.048541+00:00,2016-11-18 10:27:32.048567+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.048622+00:00,Propane Futures,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1144,True,True,2016-11-18 10:27:32.057587+00:00,2016-11-18 10:27:32.057635+00:00,Continent object,United Kingdom,Europe,United Kingdom,51,0,2016-11-18 10:27:32.057744+00:00,RBOB Gasoline Futures,energy,gas,107040.0,0.0,0.3,0.0,356800.0,0.0,0.0,0.0,0.0,0.0
1145,True,True,2016-11-18 10:27:32.097173+00:00,2016-11-18 10:27:32.097205+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.097262+00:00,Soybean Oil Futures,Grain,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1146,True,True,2016-11-18 10:27:32.112974+00:00,2016-11-18 10:27:32.113005+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.113069+00:00,Brent Crude,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
