Date,Close,High,Low,Open,Volume,timestamp,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20
2017-09-19 14:20:00,2.335,2.335,2.335,2.335,98834.0,20171010 12:41:04 702519,,0,0,,1,,,,0
2017-09-19 14:25:00,2.35,2.34,2.35,2.34,99038.0,20171010 12:41:04 702519,0.0064239828693790635,1,1,2.335,1,,,,0
2017-09-19 14:30:00,2.32,2.35,2.35,2.32,99806.0,20171010 12:41:04 702519,-0.01276595744680864,0,0,2.3352,-1,,,,0
2017-09-19 14:35:00,2.3799,2.37,2.3799,2.37,100079.0,20171010 12:41:04 702519,0.02581896551724161,1,1,2.336384,1,,,,0
2017-09-19 14:40:00,2.3899,2.38,2.3899,2.38,100288.0,20171010 12:41:04 701519,0.004201857220891503,1,1,2.3404179199999997,1,,,,0
2017-09-19 14:45:00,2.4,2.34,2.4,2.33,102281.0,20171010 12:41:04 701519,0.004226118247625532,1,1,2.3467510527999997,1,,,,0
2017-09-19 14:50:00,2.3401,2.37,2.37,2.3401,103585.0,20171010 12:41:04 701519,-0.024958333333333305,0,0,2.352070884352,-1,,,,0
2017-09-19 15:10:00,2.3601,2.36,2.42,2.36,105500.0,20171010 12:41:04 701519,0.00854664330584165,1,1,2.35653954285568,1,,,,0
2017-09-19 15:15:00,2.375,2.375,2.375,2.375,105626.0,20171010 12:41:04 701519,0.006313291809669108,1,1,2.3602932159987713,1,2.3611111111111116,,,0
2017-09-19 15:20:00,2.38,2.38,2.38,2.38,105726.0,20171010 12:41:04 701519,0.00210526315789461,1,1,2.3634463014389677,1,2.3648888888888893,0.0016000000000000458,,0
2017-09-19 15:25:00,2.41,2.41,2.41,2.41,105937.0,20171010 12:41:04 701519,0.0126050420168069,1,1,2.3660948932087327,1,2.3739111111111115,0.0038150723548204812,,0
2017-09-19 15:30:00,2.38,2.38,2.38,2.38,106043.0,20171010 12:41:04 701519,-0.012448132780083054,0,0,2.374875914566986,1,2.3751288888888893,0.0005129837305524187,,0
2017-09-19 15:35:00,2.41,2.39,2.41,2.39,106453.0,20171010 12:41:04 701519,0.0126050420168069,1,1,2.38,1,2.3821031111111113,0.0029363552668018045,,0
2017-09-19 15:40:00,2.39,2.39,2.39,2.39,106558.0,20171010 12:41:04 701519,-0.008298755186721962,0,0,2.38,1,2.3836824888888892,0.0006630182255382699,,0
2017-09-19 15:45:00,2.405,2.405,2.405,2.405,106820.0,20171010 12:41:04 701519,0.006276150627614996,1,1,2.386,1,2.387945991111111,0.0017886200205334823,,0
2017-09-19 15:50:00,2.39,2.4152,2.4152,2.39,108042.0,20171010 12:41:04 701519,-0.006237006237006071,0,0,2.39,1,2.388356792888889,0.00017203143593169656,,0
2017-09-19 15:55:00,2.38,2.38,2.38,2.38,108245.0,20171010 12:41:04 701519,-0.004184100418410108,0,0,2.4152,-1,2.3866854343111115,-0.0006997943451138022,,0
2017-09-19 16:00:00,2.4,2.37,2.4,2.37,111468.0,20171010 12:41:04 701519,0.008403361344537785,1,1,2.4152,-1,2.3893483474488892,0.0011157369544789741,,0
2017-09-19 16:05:00,2.4,2.4,2.4,2.4,112279.0,20171010 12:41:04 700519,0.0,0,0,2.413792,-1,2.3914786779591113,0.0008915947783405542,,0
2017-09-20 09:35:00,2.4325,2.45,2.45,2.4325,3341.0,20171010 12:41:04 700519,0.013541666666666785,1,1,2.38,1,2.399682942367289,0.0034306241087540545,2.381375,1
2017-09-20 09:40:00,2.49,2.49,2.49,2.49,3489.0,20171010 12:41:04 700519,0.023638232271325776,1,1,2.3828,1,2.4177463538938313,0.007527415896336098,2.391720238095238,1
