Date,Close,High,Low,Open,Volume,timestamp,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value
2017-09-20 09:35:00,2.4325,2.45,2.45,2.4325,3341.0,20171010 12:41:04 700519,0.013541666666666785,1,1,2.38,1,2.399682942367289,0.0034306241087540545,2.381375,0.0,1,1,1,8165.9608333333335,8165.9608333333335,3341.0,2.444166666666667,-1,0,0,1,0.0,0,0.0
2017-09-20 09:40:00,2.49,2.49,2.49,2.49,3489.0,20171010 12:41:04 700519,0.023638232271325776,1,1,2.3828,1,2.4177463538938313,0.007527415896336098,2.391720238095238,0.0,1,1,1,8687.61,16853.570833333335,6830.0,2.4675799170326993,-1,0,0,1,0.0,0,0.0
2017-09-20 09:45:00,2.48,2.48,2.48,2.48,3708.0,20171010 12:41:04 700519,-0.004016064257028162,0,0,2.391376,1,2.430197083115065,0.005149725156727847,2.40012783446712,0.0,0,1,1,9195.84,26049.410833333335,10538.0,2.4719501644840896,-1,0,0,1,0.0,0,0.0
2017-09-20 09:55:00,2.48,2.4864,2.4864,2.48,5514.0,20171010 12:41:04 700519,0.0,0,0,2.3992659200000004,1,2.4401576664920523,0.0040986730854846165,2.4077347073750137,0.0,0,1,1,13698.2464,39747.65723333333,16052.0,2.4761809888695074,-1,0,0,1,0.0,0,0.0
2017-09-20 10:00:00,2.441,2.47,2.48,2.441,8914.0,20171010 12:41:04 700519,-0.015725806451612923,0,0,2.4065246464000003,1,2.4403261331936417,6.903926902057655e-05,2.410902830482155,0.0,0,0,1,21961.124666666667,61708.7819,24966.0,2.4717128054153648,-1,0,0,1,0.0,0,0.0
2017-09-20 10:05:00,2.4801,2.4685,2.52,2.45,32236.0,20171010 12:41:04 700519,0.01601802539942665,1,1,2.413202674688,1,2.4482809065549134,0.003259717319365585,2.4174930371029024,0.0,1,1,1,80252.59653333334,141961.37843333336,57202.0,2.4817555056350016,-1,0,0,1,0.0,0,0.0
2017-09-20 10:10:00,2.49,2.48,2.52,2.48,36986.0,20171010 12:41:04 700519,0.003991774525220704,1,1,2.4193464607129602,1,2.456624725243931,0.003408031597468275,2.4243984621407213,0.0,1,1,1,92341.71333333333,234303.09176666668,94188.0,2.487610860902309,-1,0,0,1,0.0,0,0.0
2017-09-20 10:15:00,2.51,2.52,2.52,2.51,38586.0,20171010 12:41:04 700519,0.008032128514056103,1,1,2.4249987438559235,1,2.4672997801951446,0.004345415415516474,2.4325509895558906,0.0,1,1,1,97108.09999999999,331411.19176666666,132774.0,2.496054888507288,-1,0,0,1,0.0,0,0.0
2017-09-20 10:20:00,2.52,2.512,2.63,2.512,41086.0,20171010 12:41:04 700519,0.003984063745019917,1,1,2.436398894593213,1,2.4778398241561157,0.004271894337921633,2.440879466741044,0.0,1,1,1,104933.64399999999,436344.8357666666,173860.0,2.5097482788833925,-1,0,0,1,0.0,0,0.0
2017-09-20 10:25:00,2.5401,2.5489,2.5505,2.5401,43242.0,20171010 12:41:04 700519,0.007976190476190359,1,1,2.4464310272420273,1,2.4902918593248926,0.005025359204975155,2.450329041337135,0.0,1,1,1,110115.753,546460.5887666666,217102.0,2.5170684229839733,-1,0,0,1,0.0,0,0.0
2017-09-20 10:30:00,2.61,2.61,2.61,2.61,43483.0,20171010 12:41:04 700519,0.027518601629857198,1,1,2.462826062883303,1,2.514233487459914,0.009613984820844301,2.465535799305027,0.0,1,1,1,113490.62999999999,659951.2187666666,260585.0,2.5325756231811756,-1,0,0,1,0.0,0,0.0
2017-09-20 10:35:00,2.599,2.57,2.599,2.57,47298.0,20171010 12:41:04 700519,-0.004214559386973016,0,0,2.4922608503066424,1,2.5311867899679314,0.006742930834615857,2.478246675561691,0.0,0,1,1,122470.28800000002,782421.5067666667,307883.0,2.5412949294591343,-1,0,0,1,0.0,0,0.0
