Date,Close,High,Low,Open,Volume
2017-09-22 10:00:00,1.1699,1.1527,1.1699,1.1527,95950.0
2017-09-22 10:05:00,1.16,1.1601,1.165,1.16,98412.0
2017-09-22 10:10:00,1.1699,1.161,1.1699,1.1601,102478.0
2017-09-22 10:15:00,1.1701,1.17,1.179,1.1699,109174.0
2017-09-22 10:20:00,1.1707,1.1707,1.1707,1.1707,112175.0
2017-09-22 10:25:00,1.18,1.18,1.18,1.18,116629.0
2017-09-22 10:30:00,1.17,1.175,1.175,1.1601,141768.0
2017-09-22 10:35:00,1.176,1.17,1.176,1.17,150768.0
2017-09-22 10:40:00,1.19,1.1799,1.19,1.1701,207914.0
2017-09-22 10:45:00,1.17,1.1814,1.1814,1.17,232971.0
2017-09-22 10:50:00,1.1668,1.1668,1.1668,1.1668,234367.0
2017-09-22 11:00:00,1.177,1.177,1.177,1.177,234867.0
2017-09-22 11:10:00,1.1775,1.1748,1.1775,1.16,241114.0
2017-09-22 11:20:00,1.16,1.1621,1.1621,1.16,243263.0
2017-09-22 11:25:00,1.178,1.178,1.178,1.178,243363.0
2017-09-22 11:30:00,1.16,1.16,1.16,1.16,244970.0
2017-09-22 11:35:00,1.1665,1.16,1.1674,1.16,246976.0
2017-09-22 11:45:00,1.16,1.16,1.16,1.16,248583.0
2017-09-22 11:55:00,1.16,1.16,1.1684,1.16,251158.0
2017-09-22 12:00:00,1.18,1.18,1.18,1.18,252159.0
2017-09-22 12:15:00,1.17,1.17,1.17,1.17,255613.0
2017-09-22 12:40:00,1.17,1.1708,1.1708,1.17,258253.0
2017-09-22 12:50:00,1.175,1.175,1.179,1.17,262687.0
2017-09-22 13:00:00,1.18,1.18,1.18,1.18,263087.0
2017-09-22 13:05:00,1.16,1.174,1.174,1.16,265553.0
2017-09-22 13:20:00,1.1617,1.1617,1.1617,1.1617,270554.0
2017-09-22 13:35:00,1.16,1.161,1.17,1.16,279829.0
2017-09-22 13:40:00,1.179,1.179,1.179,1.179,284829.0
2017-09-22 13:45:00,1.1603,1.1607,1.18,1.1603,288713.0
2017-09-22 14:00:00,1.1613,1.1613,1.1613,1.1613,289717.0
2017-09-22 14:10:00,1.18,1.17,1.18,1.16,303983.0
2017-09-22 14:20:00,1.18,1.1601,1.18,1.1601,314627.0
2017-09-22 14:40:00,1.1601,1.1601,1.1601,1.1601,315231.0
2017-09-22 14:45:00,1.1786,1.1786,1.1786,1.1786,316231.0
2017-09-22 14:50:00,1.1732,1.1732,1.1732,1.1732,317631.0
2017-09-22 15:05:00,1.1637,1.1637,1.1637,1.1637,317731.0
2017-09-22 15:10:00,1.1684,1.1684,1.1684,1.1684,317851.0
2017-09-22 15:15:00,1.17,1.17,1.17,1.17,327881.0
2017-09-22 15:30:00,1.162,1.15,1.162,1.15,344910.0
2017-09-22 15:35:00,1.15,1.1501,1.16,1.15,364161.0
2017-09-22 15:40:00,1.15,1.1564,1.16,1.15,383131.0
2017-09-22 15:45:00,1.15,1.155,1.155,1.15,389169.0
2017-09-22 15:50:00,1.1599,1.15,1.1599,1.15,392169.0
2017-09-22 15:55:00,1.1599,1.1599,1.1599,1.1599,396169.0
2017-09-22 16:00:00,1.16,1.16,1.16,1.16,397169.0
2017-09-22 16:05:00,1.15,1.15,1.15,1.15,397882.0
2017-09-25 09:35:00,1.18,1.15,1.18,1.13,40314.0
2017-09-25 09:40:00,1.1605,1.1666,1.1666,1.15,46869.0
2017-09-25 09:45:00,1.1516,1.1501,1.1516,1.15,58169.0
2017-09-25 09:50:00,1.15,1.1701,1.1701,1.15,97001.0
2017-09-25 09:55:00,1.15,1.15,1.15,1.15,97901.0
2017-09-25 10:00:00,1.1455,1.16,1.17,1.1442,114001.0
2017-09-25 10:05:00,1.17,1.1403,1.17,1.1403,121447.0
2017-09-25 10:10:00,1.18,1.17,1.18,1.17,128759.0
2017-09-25 10:15:00,1.14,1.17,1.171,1.14,158259.0
2017-09-25 10:25:00,1.17,1.17,1.17,1.17,160269.0
2017-09-25 10:30:00,1.14,1.16,1.16,1.14,175677.0
2017-09-25 10:40:00,1.155,1.15,1.155,1.15,177082.0
