Date,Close,High,Low,Open,Volume,timestamp
2017-09-18 15:50:00,2.25,2.25,2.25,2.25,60001.0,20171010 12:41:04 705519
2017-09-18 15:55:00,2.28,2.26,2.2801,2.26,61645.0,20171010 12:41:04 705519
2017-09-18 16:00:00,2.29,2.29,2.31,2.29,64061.0,20171010 12:41:04 705519
2017-09-18 16:05:00,2.32,2.32,2.32,2.32,67792.0,20171010 12:41:04 705519
2017-09-19 09:35:00,2.35,2.35,2.35,2.35,1009.0,20171010 12:41:04 705519
2017-09-19 09:45:00,2.3538,2.3,2.3538,2.3,1460.0,20171010 12:41:04 705519
2017-09-19 09:50:00,2.3,2.3,2.3,2.3,1560.0,20171010 12:41:04 704519
2017-09-19 09:55:00,2.29,2.29,2.29,2.29,1660.0,20171010 12:41:04 704519
2017-09-19 10:05:00,2.27,2.28,2.28,2.27,2580.0,20171010 12:41:04 704519
2017-09-19 10:10:00,2.25,2.25,2.25,2.25,2750.0,20171010 12:41:04 704519
2017-09-19 10:15:00,2.2397,2.2396,2.2398,2.2396,3980.0,20171010 12:41:04 704519
2017-09-19 10:20:00,2.22,2.23,2.23,2.22,4732.0,20171010 12:41:04 704519
2017-09-19 10:25:00,2.21,2.25,2.25,2.21,8714.0,20171010 12:41:04 704519
2017-09-19 10:35:00,2.2,2.168,2.2,2.15,9882.0,20171010 12:41:04 704519
2017-09-19 10:40:00,2.18,2.16,2.18,2.16,10281.0,20171010 12:41:04 704519
2017-09-19 10:50:00,2.19,2.1805,2.19,2.1805,10982.0,20171010 12:41:04 704519
2017-09-19 10:55:00,2.18,2.19,2.22,2.17,18904.0,20171010 12:41:04 704519
2017-09-19 11:00:00,2.17,2.18,2.18,2.17,21192.0,20171010 12:41:04 704519
2017-09-19 11:05:00,2.18,2.1799,2.18,2.1799,21988.0,20171010 12:41:04 704519
2017-09-19 11:10:00,2.18,2.17,2.18,2.17,29724.0,20171010 12:41:04 704519
2017-09-19 11:15:00,2.18,2.18,2.18,2.175,31424.0,20171010 12:41:04 703519
2017-09-19 11:20:00,2.18,2.1701,2.18,2.17,43433.0,20171010 12:41:04 703519
2017-09-19 11:25:00,2.1793,2.1793,2.1793,2.1793,43693.0,20171010 12:41:04 703519
2017-09-19 11:30:00,2.1794,2.1794,2.1794,2.1794,44693.0,20171010 12:41:04 703519
2017-09-19 11:40:00,2.17,2.18,2.18,2.17,45050.0,20171010 12:41:04 703519
2017-09-19 11:45:00,2.175,2.17,2.18,2.17,67032.0,20171010 12:41:04 703519
2017-09-19 11:50:00,2.2079,2.17,2.21,2.17,84570.0,20171010 12:41:04 703519
2017-09-19 11:55:00,2.2,2.2,2.2,2.2,84690.0,20171010 12:41:04 703519
2017-09-19 12:00:00,2.21,2.21,2.21,2.2001,85624.0,20171010 12:41:04 703519
2017-09-19 12:05:00,2.2184,2.2184,2.2184,2.2184,85874.0,20171010 12:41:04 703519
2017-09-19 12:10:00,2.26,2.22,2.3,2.22,87556.0,20171010 12:41:04 703519
2017-09-19 12:30:00,2.2701,2.2701,2.2701,2.2701,87809.0,20171010 12:41:04 703519
2017-09-19 12:40:00,2.2878,2.3,2.3,2.2878,88512.0,20171010 12:41:04 703519
2017-09-19 12:45:00,2.29,2.285,2.29,2.2701,89157.0,20171010 12:41:04 703519
2017-09-19 12:50:00,2.296,2.3,2.3,2.296,90153.0,20171010 12:41:04 702519
2017-09-19 13:00:00,2.31,2.3099,2.31,2.3099,90861.0,20171010 12:41:04 702519
2017-09-19 13:05:00,2.35,2.35,2.35,2.35,90981.0,20171010 12:41:04 702519
2017-09-19 13:10:00,2.31,2.32,2.33,2.2901,95404.0,20171010 12:41:04 702519
2017-09-19 13:20:00,2.27,2.2931,2.2931,2.27,96608.0,20171010 12:41:04 702519
2017-09-19 13:25:00,2.29,2.3,2.3,2.29,97590.0,20171010 12:41:04 702519
2017-09-19 13:30:00,2.3155,2.3155,2.3155,2.3155,97714.0,20171010 12:41:04 702519
2017-09-19 13:50:00,2.32,2.32,2.32,2.32,98035.0,20171010 12:41:04 702519
2017-09-19 14:05:00,2.32,2.32,2.334,2.32,98686.0,20171010 12:41:04 702519
2017-09-19 14:20:00,2.335,2.335,2.335,2.335,98834.0,20171010 12:41:04 702519
2017-09-19 14:25:00,2.35,2.34,2.35,2.34,99038.0,20171010 12:41:04 702519
2017-09-19 14:30:00,2.32,2.35,2.35,2.32,99806.0,20171010 12:41:04 702519
2017-09-19 14:35:00,2.3799,2.37,2.3799,2.37,100079.0,20171010 12:41:04 702519
2017-09-19 14:40:00,2.3899,2.38,2.3899,2.38,100288.0,20171010 12:41:04 701519
2017-09-19 14:45:00,2.4,2.34,2.4,2.33,102281.0,20171010 12:41:04 701519
2017-09-19 14:50:00,2.3401,2.37,2.37,2.3401,103585.0,20171010 12:41:04 701519
2017-09-19 15:10:00,2.3601,2.36,2.42,2.36,105500.0,20171010 12:41:04 701519
2017-09-19 15:15:00,2.375,2.375,2.375,2.375,105626.0,20171010 12:41:04 701519
2017-09-19 15:20:00,2.38,2.38,2.38,2.38,105726.0,20171010 12:41:04 701519
2017-09-19 15:25:00,2.41,2.41,2.41,2.41,105937.0,20171010 12:41:04 701519
2017-09-19 15:30:00,2.38,2.38,2.38,2.38,106043.0,20171010 12:41:04 701519
2017-09-19 15:35:00,2.41,2.39,2.41,2.39,106453.0,20171010 12:41:04 701519
2017-09-19 15:40:00,2.39,2.39,2.39,2.39,106558.0,20171010 12:41:04 701519
2017-09-19 15:45:00,2.405,2.405,2.405,2.405,106820.0,20171010 12:41:04 701519
2017-09-19 15:50:00,2.39,2.4152,2.4152,2.39,108042.0,20171010 12:41:04 701519
2017-09-19 15:55:00,2.38,2.38,2.38,2.38,108245.0,20171010 12:41:04 701519
2017-09-19 16:00:00,2.4,2.37,2.4,2.37,111468.0,20171010 12:41:04 701519
2017-09-19 16:05:00,2.4,2.4,2.4,2.4,112279.0,20171010 12:41:04 700519
2017-09-20 09:35:00,2.4325,2.45,2.45,2.4325,3341.0,20171010 12:41:04 700519
2017-09-20 09:40:00,2.49,2.49,2.49,2.49,3489.0,20171010 12:41:04 700519
2017-09-20 09:45:00,2.48,2.48,2.48,2.48,3708.0,20171010 12:41:04 700519
