Date,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-10-10 09:35:00,155.91,156.0,156.36,156.2298,1000444.0,0.001729930751474651,156.0981202829881,0.00021093702618113497,156.03249,0.0,0,0,1,156265951.29040003,156265951.29040003,1000444.0,156.19660000000002,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 09:40:00,156.17,156.22,158.0,156.5,1698350.0,0.0017295035902240574,156.17849622639048,0.0005149065424789878,156.07701476190476,0.0,0,0,1,266482437.33333334,422748388.6237334,2698794.0,156.64344467333683,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 09:45:00,156.24,156.49,156.52,156.245,2075751.0,-0.0016293929712459798,156.1917969811124,8.516380323331241e-05,156.09301335600907,0.0,0,0,1,324685511.835,747433900.4587333,4774545.0,156.54557669028847,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 09:50:00,156.13,156.26,156.33,156.19,2347881.0,-0.00035201126436046337,156.1914375848899,-2.300992942183555e-06,156.1022501792463,0.0,0,0,1,366879885.06000006,1114313785.5187335,7122426.0,156.45143740612167,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 09:55:00,156.13,156.1977,156.33,156.27,2673530.0,0.0005121966835266445,156.20715006791193,0.00010059759526503953,156.11822635265142,0.0,0,0,1,417781571.627,1532095357.1457334,9795956.0,156.4008002022195,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 10:00:00,156.09,156.28,156.3289,156.1,2983388.0,-0.0010878607538236107,156.18572005432955,-0.00013718970977361078,156.11649050954176,0.0,0,0,1,466113502.5844,1998208859.7301333,12779344.0,156.3623969845505,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 10:05:00,155.941,156.13,156.185,155.97,3334181.0,-0.0008327994875080291,156.14257604346363,-0.0002762353104426296,156.10253903244254,0.0,0,0,1,520448983.195,2518657842.925133,16113525.0,156.30706769159033,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 10:10:00,155.62,155.97,156.0,155.8035,3741535.0,-0.0010675129832659058,156.0747608347709,-0.0004343159336237523,156.07405912459086,0.0,0,0,1,583396974.1075,3102054817.0326333,19855060.0,156.23497572067942,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 10:15:00,155.65,155.82,155.92,155.7054,4061500.0,-0.0006296392571413234,156.00088866781672,-0.00047331270321393504,156.03894873177268,-1.0,0,0,0,632843164.0333333,3734897981.0659666,23916560.0,156.1636782658529,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
2017-10-10 10:20:00,155.11,155.701,155.705,155.23,4575611.0,-0.003053201751512802,155.84671093425337,-0.0009883131748797958,155.96190599541336,0.0,0,0,0,711714938.1986667,4446612919.264633,28492171.0,156.0643770972957,-1,0,0,1,0.0,0,0.0,20171010 14:14:19
