Date,Close,High,Low,Open,Volume,timestamp
2017-10-02 10:00:00,5.5001,5.5001,5.52,5.5,38805.0,20171010 14:30:52 639490
2017-10-02 10:05:00,5.51,5.5001,5.54,5.5,44321.0,20171010 14:30:52 638490
2017-10-02 10:10:00,5.51,5.5001,5.51,5.495,48522.0,20171010 14:30:52 638490
2017-10-02 10:15:00,5.473,5.5,5.515,5.473,52906.0,20171010 14:30:52 637491
2017-10-02 10:20:00,5.49,5.5,5.5,5.49,53688.0,20171010 14:30:52 634491
2017-10-02 10:25:00,5.46,5.47,5.4701,5.46,54515.0,20171010 14:30:52 633491
2017-10-02 10:30:00,5.47,5.46,5.47,5.46,55015.0,20171010 14:30:52 633491
2017-10-02 10:35:00,5.46,5.46,5.46,5.46,55315.0,20171010 14:30:52 631490
2017-10-02 10:40:00,5.49,5.46,5.49,5.46,55815.0,20171010 14:30:52 630489
2017-10-02 10:45:00,5.516,5.52,5.52,5.516,59006.0,20171010 14:30:52 630489
2017-10-02 10:50:00,5.5,5.5001,5.5084,5.49,61600.0,20171010 14:30:52 629488
2017-10-02 10:55:00,5.47,5.49,5.5,5.47,63320.0,20171010 14:30:52 629488
2017-10-02 11:00:00,5.451,5.46,5.46,5.45,65220.0,20171010 14:30:52 628488
2017-10-02 11:05:00,5.48,5.46,5.48,5.46,67039.0,20171010 14:30:52 628488
2017-10-02 11:10:00,5.4842,5.4842,5.4842,5.4842,67549.0,20171010 14:30:52 627488
2017-10-02 11:15:00,5.48,5.4899,5.49,5.48,69160.0,20171010 14:30:52 627488
2017-10-02 11:20:00,5.4801,5.49,5.49,5.48,70160.0,20171010 14:30:52 626489
2017-10-02 11:25:00,5.5001,5.49,5.51,5.49,75572.0,20171010 14:30:52 626489
2017-10-02 11:30:00,5.5,5.5001,5.515,5.5,86777.0,20171010 14:30:52 625489
2017-10-02 11:35:00,5.49,5.5,5.5,5.49,88607.0,20171010 14:30:52 624490
2017-10-02 11:40:00,5.51,5.51,5.52,5.47,94253.0,20171010 14:30:52 624490
2017-10-02 11:45:00,5.49,5.5,5.5,5.49,94796.0,20171010 14:30:52 623489
2017-10-02 11:50:00,5.48,5.5,5.5,5.48,95196.0,20171010 14:30:52 622489
