Date,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-10-10 09:35:00,5.6908,5.72,5.86,5.8,9344.0,0.010452961672473782,5.7737362887111106,0.0011385007571043104,5.814,0.0,1,1,0,54132.90666666666,54132.90666666666,9344.0,5.793333333333333,-1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 09:40:00,5.73,5.8175,5.8175,5.78,12533.0,-0.0034482758620688614,5.7749890309688885,0.00021697254518304732,5.810761904761905,0.0,0,0,0,72754.065,126886.97166666666,21877.0,5.800016988922917,-1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 09:45:00,5.77,5.78,5.79,5.78,13735.0,0.0,5.775991224775111,0.00017354038264794092,5.807832199546485,0.0,0,0,0,79434.08333333334,206321.055,35612.0,5.793582359878692,-1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 09:50:00,5.68,5.75,5.78,5.68,20950.0,-0.01730103806228378,5.756792979820089,-0.0033238009214200392,5.795657704351582,0.0,0,0,0,120183.16666666669,326504.2216666667,56562.0,5.772501355444763,-1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 09:55:00,5.63,5.69,5.71,5.63,52361.0,-0.008802816901408383,5.7314343838560715,-0.0044049866050264175,5.7798807801276215,0.0,0,0,0,297235.94333333336,623740.165,108923.0,5.7264321125933,1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 10:00:00,5.6101,5.63,5.6592,5.6357,66722.0,0.0010124333925398687,5.7122875070848576,-0.003340678002900166,5.766149277258324,0.0,0,0,0,376421.0592666667,1000161.2242666667,175645.0,5.694219728809056,1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 10:05:00,5.6399,5.65,5.7,5.7,69358.0,0.011409407881895817,5.709830005667886,-0.00043021318761071736,5.759849346090864,0.0,1,0,0,394184.63333333336,1394345.8576,245003.0,5.691137894638024,1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 10:10:00,5.65,5.71,5.71,5.67,74273.0,-0.0052631578947368585,5.7018640045343085,-0.0013951380558913096,5.751292265510782,0.0,0,0,0,423108.5233333333,1817454.3809333332,319276.0,5.692424049829405,1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 10:15:00,5.65,5.67,5.67,5.65,75080.0,-0.003527336860670083,5.6914912036274465,-0.0018191947227456096,5.741645383081184,0.0,0,0,0,425203.0666666667,2242657.4476,394356.0,5.686885574455569,1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 10:20:00,5.61,5.65,5.65,5.62,79236.0,-0.005309734513274433,5.677192962901957,-0.0025122134452877365,5.730060108502023,0.0,0,0,0,446891.04000000004,2689548.4876,473592.0,5.679041216067839,-1,0,0,1,0.0,0,0.0,20171010 14:30:52
2017-10-10 10:25:00,5.57,5.62,5.63,5.5792,92972.0,-0.007259786476868313,5.657594370321566,-0.0034521624874228607,5.715692479120878,0.0,0,0,0,521548.1274666667,3211096.6150666666,566564.0,5.667667933484419,-1,0,0,1,0.0,0,0.0,20171010 14:30:52
