Date,Close,High,Low,Open,Volume
2017-10-10 13:25:00,12.355,12.36,12.36,12.35,16747726.0
2017-10-10 13:30:00,12.355,12.36,12.37,12.35,17847436.0
2017-10-10 13:35:00,12.345,12.355,12.36,12.34,18058979.0
2017-10-10 13:40:00,12.353,12.345,12.36,12.34,18241262.0
2017-10-10 13:45:00,12.35,12.355,12.36,12.35,18273150.0
2017-10-10 13:50:00,12.355,12.355,12.36,12.35,18321373.0
2017-10-10 13:55:00,12.365,12.355,12.37,12.35,18502693.0
2017-10-10 14:00:00,12.35,12.37,12.37,12.35,18634593.0
2017-10-10 14:05:00,12.355,12.355,12.36,12.35,18780422.0
2017-10-10 14:10:00,12.35,12.35,12.36,12.35,18852417.0
