,Date,Open,High,Low,Close,Volume ,EMA
0,2/23/17 13:25,259.64,260.44,259.5635,260.099,62600,
1,2/23/17 13:30,260.099,260.15,259.55,259.887,54700,
2,2/23/17 13:35,259.8906,260.31,259.71,259.71,49300,
3,2/23/17 13:40,259.71,260.06,259.71,259.8147,35500,
4,2/23/17 13:45,259.8147,259.93,258.5219,258.5689,132500,
5,2/23/17 13:50,258.5689,258.6,257.21,257.449,174900,
6,2/23/17 13:55,257.449,258.03,257.38,257.595,84000,
7,2/23/17 14:00,257.595,258.27,257.13,257.37,96500,
8,2/23/17 14:05,257.37,257.74,256.9202,257.03,76800,258.613733333
9,2/23/17 14:10,257.03,257.7,256.81,257.36,96900,258.362986667
10,2/23/17 14:15,257.36,257.77,257.02,257.69,50400,258.228389333
11,2/23/17 14:20,257.7541,258.0,257.26,257.62,49600,258.106711467
12,2/23/17 14:25,257.57,258.22,257.57,258.056,65300,258.096569173
13,2/23/17 14:30,258.056,258.33,257.6211,257.6211,79700,258.001475339
14,2/23/17 14:35,257.61,257.78,257.07,257.3869,86000,257.878560271
15,2/23/17 14:40,257.3869,257.65,257.19,257.2508,62000,257.753008217
16,2/23/17 14:45,257.25,257.46,256.89,257.101,57500,257.622606573
17,2/23/17 14:50,257.101,257.4095,257.05,257.24,56800,257.546085259
18,2/23/17 14:55,257.3,257.45,256.9,257.15,68600,257.466868207
19,2/23/17 15:00,257.15,257.34,257.0718,257.12,32900,257.397494566
20,2/23/17 15:05,257.13,257.948,257.0,257.72,94000,257.461995652
21,2/23/17 15:10,257.72,257.79,257.42,257.64,56400,257.497596522
22,2/23/17 15:15,257.64,257.85,257.51,257.75,50600,257.548077218
23,2/23/17 15:20,257.75,257.94,257.39,257.48,65200,257.534461774
24,2/23/17 15:25,257.48,257.5,256.86,257.04,136600,257.435569419
25,2/23/17 15:30,257.04,257.4,257.0,257.2,72300,257.388455535
26,2/23/17 15:35,257.19,257.45,257.17,257.3988,76800,257.390524428
27,2/23/17 15:40,257.3988,257.4,257.0,257.0525,107500,257.322919543
28,2/23/17 15:45,257.03,257.12,256.6,256.84,138200,257.226335634
29,2/23/17 15:50,256.85,257.01,256.5365,256.72,134200,257.125068507
30,2/23/17 15:55,256.72,256.73,255.66,255.8663,362200,256.873314806
31,2/23/17 16:00,255.865,256.44,255.56,255.99,313600,256.696651845
32,2/24/17 9:35,252.66,254.8,251.13,253.895,754200,256.136321476
33,2/24/17 9:40,253.745,253.9,251.72,252.545,237200,255.418057181
34,2/24/17 9:45,252.65,252.65,250.2,252.04,401700,254.742445744
35,2/24/17 9:50,252.04,252.37,250.93,251.55,239200,254.103956596
36,2/24/17 9:55,251.5,251.96,250.5,250.51,305300,253.385165276
37,2/24/17 10:00,250.61,251.63,250.36,251.39,191700,252.986132221
38,2/24/17 10:05,251.33,252.95,251.33,252.48,213500,252.884905777
39,2/24/17 10:10,252.48,253.11,251.8358,252.8,122600,252.867924622
40,2/24/17 10:15,252.8,253.09,252.08,252.3104,134000,252.756419697
41,2/24/17 10:20,252.44,252.95,252.38,252.95,66100,252.795135758
42,2/24/17 10:25,252.95,253.86,252.79,253.7974,146700,252.995588606
