Date,Open,High,Low,Close,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-05-22 09:35:00,1.79,1.85,1.66,1.6799,1996668.0,-0.0615083798883,0,0,1.85,-1,1.72274354262,-0.00617892543355,1.687995,0.0,0,0,1,3454169.0844,3454169.0844,1996668.0,1.72996666667,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 09:40:00,1.67,1.7,1.63,1.64,649984.0,-0.0237514137746,0,0,1.85,-1,1.7061948341,-0.00960601976696,1.68342404762,0.0,0,0,1,1076806.82667,4530975.91107,2646652.0,1.71196512086,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 09:45:00,1.65,1.66,1.58,1.63,670486.0,-0.00609756097561,0,0,1.85,-1,1.69095586728,-0.0089315513765,1.67833604308,0.0,0,0,1,1088422.27333,5619398.1844,3317138.0,1.69405016746,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 09:50:00,1.6397,1.64,1.6,1.63,179422.0,0.0,0,0,1.8176,-1,1.67876469382,-0.00720963432054,1.67373261041,0.0,0,0,1,291261.713333,5910659.89773,3496560.0,1.69042141354,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 09:55:00,1.6301,1.64,1.56,1.5899,329345.0,-0.0246012269939,0,0,1.789088,-1,1.66099175506,-0.010586914789,1.66574855228,-1.0,0,0,0,525843.205167,6436503.1029,3825905.0,1.68234786355,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:00:00,1.59,1.605,1.5801,1.6024,119450.0,0.00786212969369,1,1,1.75243392,-1,1.64927340405,-0.00705503261872,1.65971535682,0.0,1,0,0,190622.291667,6627125.39457,3945355.0,1.67972854016,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:05:00,1.605,1.608,1.54,1.564,273149.0,-0.0239640539191,0,0,1.7216444928,-1,1.63221872324,-0.0103407238407,1.65059960855,0.0,0,0,0,429026.029333,7056151.4239,4218504.0,1.67266676146,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:10:00,1.56,1.58,1.55,1.56,71659.0,-0.00255754475703,0,0,1.68531559424,-1,1.61777497859,-0.00884914775308,1.6419710744,0.0,0,0,0,112026.903333,7168178.32723,4290163.0,1.67084055483,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:15:00,1.56,1.56,1.52,1.5401,211108.0,-0.0127564102564,0,0,1.65625247539,-1,1.60223998287,-0.0096026925397,1.63226906732,0.0,0,0,0,325113.356933,7493291.68417,4501271.0,1.66470574293,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:20:00,1.545,1.5699,1.54,1.56,83705.0,0.0129212388806,1,1,1.62900198031,-1,1.5937919863,-0.0052726162526,1.625386299,0.0,1,0,0,130297.993167,7623589.67733,4584976.0,1.66273273346,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:25:00,1.56,1.57,1.5417,1.5501,123076.0,-0.00634615384615,0,0,1.60720158425,-1,1.58505358904,-0.00548277148745,1.61821617529,0.0,0,0,0,191251.898933,7814841.57627,4708052.0,1.65988854334,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:30:00,1.5501,1.5576,1.51,1.5249,164060.0,-0.0162570156764,0,0,1.5897612674,-1,1.57302287123,-0.00759010161595,1.6093289205,0.0,0,0,0,251148.516667,8065990.09293,4872112.0,1.6555428309,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:35:00,1.5254,1.53,1.52,1.521,47585.0,-0.00255754475703,0,0,1.57380901392,-1,1.56261829698,-0.00661438205147,1.60091664236,0.0,0,0,0,72503.6783333,8138493.77127,4919697.0,1.65426727932,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
2017-05-22 10:40:00,1.52,1.5479,1.51,1.5479,82231.0,0.0176857330703,1,1,1.56104721114,-1,1.55967463759,-0.00188379939138,1.59586743832,0.0,1,0,0,126246.513267,8264740.28453,5001928.0,1.65231092581,-1,0,0,1,0.0,0,0.0,20170529 12:25:54
