Date,Close,High,Low,Open,Volume
2017-04-23 14:15:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:20:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:25:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:30:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:35:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:40:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:45:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:50:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 14:55:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:00:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:05:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:10:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:15:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:20:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:25:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:30:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:35:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:40:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:45:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:50:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 15:55:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:00:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:05:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:10:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:15:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:20:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:25:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:30:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:35:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:40:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:45:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:50:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 16:55:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 17:00:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 17:05:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 17:10:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 17:15:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 17:20:00,1.685,1.685,1.685,1.685,0.0
