Date,Open,High,Low,Close,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20
2017-05-19 16:00:00,1.43,1.44,1.42,1.42,10288.0,,0,0,,1,,,,0
2017-05-19 16:05:00,1.43,1.43,1.43,1.43,430.0,0.00704225352113,1,1,1.42,1,,,,0
2017-05-22 08:10:00,1.45,1.68,1.45,1.6,19693.0,0.118881118881,0,1,1.4204,1,,,,0
2017-05-22 08:15:00,1.65,1.65,1.59,1.63,13287.0,0.01875,1,1,1.43,1,,,,0
2017-05-22 08:20:00,1.62,1.63,1.62,1.62,22769.0,-0.00613496932515,0,0,1.45,1,,,,0
2017-05-22 08:25:00,1.63,1.8,1.63,1.76,72469.0,0.0864197530864,0,1,1.4684,1,,,,0
2017-05-22 08:30:00,1.77,1.79,1.72,1.73,77848.0,-0.0170454545455,0,0,1.508192,1,,,,0
2017-05-22 08:35:00,1.74,1.74,1.72,1.73,34584.0,0.0,0,0,1.54320896,1,,,,0
2017-05-22 08:40:00,1.73,1.73,1.7,1.73,21450.0,0.0,0,0,1.5740238848,1,1.62777777778,,,0
2017-05-22 08:45:00,1.72,1.77,1.71,1.76,38538.0,0.0173410404624,1,1,1.60114101862,1,1.65422222222,0.0162457337884,,0
2017-05-22 08:50:00,1.74,1.76,1.74,1.75,43735.0,-0.00568181818182,0,0,1.62500409639,1,1.67337777778,0.0115797958087,,0
2017-05-22 08:55:00,1.75,1.75,1.75,1.75,16692.0,0.0,0,0,1.64600360482,1,1.68870222222,0.00915779129372,,0
2017-05-22 09:00:00,1.74,1.74,1.71,1.73,45857.0,-0.0114285714286,0,0,1.66448317224,1,1.69696177778,0.00489106690739,,0
2017-05-22 09:05:00,1.74,1.75,1.73,1.73,45126.0,0.0,0,0,1.68074519157,1,1.70356942222,0.0038938086473,,0
2017-05-22 09:10:00,1.73,1.74,1.72,1.74,16141.0,0.00578034682081,1,1,1.69505576859,1,1.71085553778,0.00427697014311,,0
2017-05-22 09:15:00,1.74,1.74,1.7,1.72,25791.0,-0.0114942528736,0,0,1.8,-1,1.71268443022,0.00106899291265,,0
2017-05-22 09:20:00,1.72,1.73,1.68,1.72,51119.0,0.0,0,0,1.796,-1,1.71414754418,0.000854281109665,,0
2017-05-22 09:25:00,1.73,1.74,1.72,1.74,24220.0,0.0116279069767,1,1,1.78672,-1,1.71931803534,0.00301636296246,,0
2017-05-22 09:30:00,1.73,1.79,1.73,1.79,117838.0,0.0287356321839,1,1,1.68,1,1.73345442827,0.00822209308631,,0
2017-05-22 09:35:00,1.79,1.85,1.66,1.6799,1996668.0,-0.0615083798883,0,0,1.85,-1,1.72274354262,-0.00617892543355,1.687995,1
