Symbol,Currency,Type,Ask,Bid,Date
EUR,USD,CASH,1.12,1.12,4/25/16 0:00
JPY,USD,CASH,0.009,0.009,4/25/16 0:00
GBP,USD,CASH,1.4455,1.4455,4/25/16 0:00
CHF,USD,CASH,1.0259,1.0259,4/25/16 0:00
CAD,USD,CASH,0.7883,0.7883,4/25/16 0:00
AUD,USD,CASH,0.7715,0.7715,4/25/16 0:00
NZD,USD,CASH,0.6871,0.6871,4/25/16 0:00
