Symbol,Currency,Type,Exchange,Pct,Cash
EUR,USD,CASH,IDEALPRO,0.00002,2
EUR,JPY,CASH,IDEALPRO,0.00002,2
GBP,USD,CASH,IDEALPRO,0.00002,2
USD,CHF,CASH,IDEALPRO,0.00002,2
USD,JPY,CASH,IDEALPRO,0.00002,2
AUD,USD,CASH,IDEALPRO,0.00002,2
USD,CAD,CASH,IDEALPRO,0.00002,2
BTC,USD,CASH,BITSTAMP,0.0025,0
BTCUSD_bitstampUSD,USD,BITCOIN,bitstampUSD,0.001,0
BTCUSD_bitfinexUSD,USD,BITCOIN,bitfinexUSD,0.001,0
